uuid,ocdid,state,name
445d0b1f-3bca-5613-a60e-fa39f278d674,ocd-division/country:us/state:wa/county:spokane/council_district:5,wa,Spokane County WA County Commissioner District 5
9d41ba78-cb24-5cf8-b0a3-8ed8ec384ad5,ocd-division/country:us/state:wa/county:stevens/council_district:1,wa,Stevens County District 1
d9d7708d-40fc-5759-8974-eec7a275b6b5,ocd-division/country:us/state:wa/county:stevens/council_district:2,wa,Stevens County District 2
8172bbb3-a6a9-5e25-86e6-f8c98f023724,ocd-division/country:us/state:wa/county:stevens/council_district:3,wa,Stevens County District 3
3fc402d5-0ece-5d8c-8f3a-c4677ee88bd6,ocd-division/country:us/state:wa/county:thurston/council_district:1,wa,Thurston County WA Board of County Commissioners District 1
52642b6e-8896-576c-a9e3-84bff356603b,ocd-division/country:us/state:wa/county:thurston/council_district:2,wa,Thurston County WA Board of County Commissioners District 2
2afa6fe8-c9bf-5e28-b194-5407a88283a3,ocd-division/country:us/state:wa/county:thurston/council_district:3,wa,Thurston County WA Board of County Commissioners District 3
1ad0993f-f2f6-52e5-ac9c-e7e3850e06be,ocd-division/country:us/state:wa/county:wahkiakum/council_district:1,wa,Wahkiakum County District 1
c6397f72-7837-5bab-9c57-0559f79b7747,ocd-division/country:us/state:wa/county:wahkiakum/council_district:2,wa,Wahkiakum County District 2
f27f24ee-abf7-53d1-a598-e0bca0f27431,ocd-division/country:us/state:wa/county:wahkiakum/council_district:3,wa,Wahkiakum County District 3
df84beee-e481-5da9-b2d4-0b99ad80d3c6,ocd-division/country:us/state:wa/county:walla_walla/council_district:1,wa,Walla Walla County District 1
67387590-a4ac-5b43-a69c-a0c33a6a5eda,ocd-division/country:us/state:wa/county:walla_walla/council_district:2,wa,Walla Walla County District 2
7638e90e-5ca3-541d-91d8-abd08cde2f20,ocd-division/country:us/state:wa/county:walla_walla/council_district:3,wa,Walla Walla County District 3
65a6be44-470a-5d76-bd5e-f16533699eba,ocd-division/country:us/state:wa/county:whatcom/council_district:1,wa,Whatcom County District 1
ed32ebf9-50f3-5c9f-9aa2-dc264ff0f565,ocd-division/country:us/state:wa/county:whatcom/council_district:2,wa,Whatcom County District 2
a0e9176e-7bce-5980-90a0-4d2992a972ee,ocd-division/country:us/state:wa/county:whatcom/council_district:3,wa,Whatcom County District 3
b45f904f-9a8d-5287-a9e1-68f3433db31b,ocd-division/country:us/state:wa/county:whatcom/council_district:4,wa,Whatcom County District 4
177febf3-8360-5d0f-9354-9b55e1ff3783,ocd-division/country:us/state:wa/county:whatcom/council_district:5,wa,Whatcom County District 5
7882a0e3-ebaa-5313-81cd-d815048a95c3,ocd-division/country:us/state:wa/county:whitman/council_district:1,wa,Whitman County District 1
9a127877-c89e-5ead-804e-2ffd205e5e6c,ocd-division/country:us/state:wa/county:whitman/council_district:2,wa,Whitman County District 2
590f94dd-3c5a-5a0d-874e-6de576f4187a,ocd-division/country:us/state:wa/county:whitman/council_district:3,wa,Whitman County District 3
915da3b3-22ee-520f-8bcc-aacfed8d4d13,ocd-division/country:us/state:wa/county:yakima/council_district:1,wa,Yakima County District 1
